year,sex,n_births,total_births,percent
1629,males,5218,9901,0.527017472982527
1630,males,4858,9315,0.5215244229736984
1631,males,4422,8524,0.5187705302674801
1632,males,4994,9584,0.5210767946577629
1633,males,5158,9997,0.5159547864359307
1634,males,5035,9855,0.510908168442415
1635,males,5106,10034,0.5088698425353797
1636,males,4917,9522,0.5163831127914303
1637,males,4703,9160,0.5134279475982533
1638,males,5359,10311,0.519736204053923
1639,males,5366,10150,0.5286699507389162
1640,males,5518,10850,0.5085714285714286
1641,males,5470,10670,0.5126522961574508
1642,males,5460,10370,0.5265188042430087
1643,males,4793,9410,0.5093517534537726
1644,males,4107,8104,0.506786771964462
1645,males,4047,7966,0.5080341451167462
1646,males,3768,7304,0.515881708652793
1647,males,3796,7332,0.5177304964539007
1667,males,5616,10938,0.5134393856280856
1668,males,6073,11633,0.522049342388034
1669,males,6506,12335,0.5274422375354682
1670,males,6278,11997,0.5232974910394266
1671,males,6449,12510,0.5155075939248601
1672,males,6443,12563,0.5128552097428958
1673,males,6073,11895,0.510550651534258
1674,males,6113,11851,0.5158214496666947
1675,males,6058,11775,0.51447983014862
1676,males,6552,12399,0.5284297120735543
1677,males,6423,12626,0.5087121812133693
1678,males,6568,12601,0.5212284739306404
1679,males,6247,12288,0.5083821614583334
1680,males,6548,12847,0.5096909784385459
1681,males,6822,13355,0.510819917633845
1682,males,6909,13653,0.5060426279938475
1683,males,7577,14735,0.5142178486596539
1684,males,7575,14702,0.5152360223098899
1685,males,7484,14730,0.5080787508486083
1686,males,7575,14694,0.5155165373621886
1687,males,7737,14951,0.5174904688649589
1688,males,7487,14588,0.5132300520976145
1648,males,3363,6544,0.5139058679706602
1649,males,3079,5825,0.5285836909871244
1650,males,2890,5612,0.514967925873129
1651,males,3231,6071,0.5322022731016307
1652,males,3220,6128,0.5254569190600522
1653,males,3196,6155,0.5192526401299756
1654,males,3441,6620,0.5197885196374622
1655,males,3655,7004,0.5218446601941747
1656,males,3668,7050,0.5202836879432624
1657,males,3396,6685,0.5080029917726253
1658,males,3157,6170,0.5116693679092382
1659,males,3209,5990,0.5357262103505843
1660,males,3724,6971,0.5342131688423468
1661,males,4748,8855,0.5361942405420667
1662,males,5216,10019,0.5206108394051302
1663,males,5411,10292,0.5257481539059463
1664,males,6041,11722,0.5153557413410681
1665,males,5114,9972,0.5128359406337746
1666,males,4678,8997,0.519951094809381
1689,males,7604,14871,0.5113307780243427
1690,males,7909,15211,0.519952665833936
1691,males,7662,15054,0.5089677162216022
1692,males,7602,14918,0.5095857353532645
1693,males,7676,15159,0.5063658552674979
1694,males,6985,13632,0.5123973004694836
1695,males,7263,13976,0.5196765884373211
1696,males,7632,14861,0.5135589798802234
1697,males,8062,15829,0.5093183397561438
1698,males,8426,16052,0.524919013207077
1699,males,7911,15363,0.5149384885764499
1700,males,7578,14639,0.517658309993852
1701,males,8102,15616,0.5188268442622951
1702,males,8031,15687,0.5119525721935361
1703,males,7765,15448,0.5026540652511652
1704,males,6113,11851,0.5158214496666947
1705,males,8366,16145,0.5181790027872406
1706,males,7952,15369,0.5174051662437374
1707,males,8239,15862,0.5194174757281553
1708,males,8239,15862,0.5194174757281553
1709,males,7840,15220,0.5151116951379764
1710,males,7640,14928,0.5117899249732047
