year,dept,coll,employee_group,gender,number
2010,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,8
2010,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,2
2010,CHEMISTRY,NA,P & S,female,6
2010,COMPUTER SCIENCE,NA,P & S,female,3
2010,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,8
2010,ENGLISH,NA,P & S,female,4
2010,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,11
2010,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,0
2010,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,4
2010,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,1
2010,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,6
2010,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,13
2010,MATHEMATICS,NA,P & S,female,2
2010,MUSIC AND THEATRE,NA,P & S,female,2
2010,PHYSICS & ASTRONOMY,NA,P & S,female,2
2010,POLITICAL SCIENCE,NA,P & S,female,0
2010,PSYCHOLOGY,NA,P & S,female,3
2010,SOCIOLOGY,LAS,P & S,female,1
2010,STATISTICS,NA,P & S,female,0
2010,WORLD LANGUAGES AND CULTURES,NA,P & S,female,1
2011,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,8
2011,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,2
2011,CHEMISTRY,NA,P & S,female,7
2011,COMPUTER SCIENCE,NA,P & S,female,3
2011,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,8
2011,ECONOMICS,LAS,P & S,female,1
2011,ENGLISH,NA,P & S,female,4
2011,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,12
2011,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,1
2011,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,4
2011,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,1
2011,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,6
2011,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,14
2011,MATHEMATICS,NA,P & S,female,2
2011,MUSIC AND THEATRE,NA,P & S,female,2
2011,PHYSICS & ASTRONOMY,NA,P & S,female,2
2011,POLITICAL SCIENCE,NA,P & S,female,0
2011,PSYCHOLOGY,NA,P & S,female,5
2011,SOCIOLOGY,LAS,P & S,female,1
2011,WORLD LANGUAGES AND CULTURES,NA,P & S,female,2
2012,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,7
2012,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,2
2012,CHEMISTRY,NA,P & S,female,8
2012,COMPUTER SCIENCE,NA,P & S,female,4
2012,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,7
2012,ECONOMICS,LAS,P & S,female,1
2012,ENGLISH,NA,P & S,female,2
2012,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,10
2012,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,2
2012,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,4
2012,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,2
2012,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,7
2012,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,14
2012,MATHEMATICS,NA,P & S,female,3
2012,MUSIC AND THEATRE,NA,P & S,female,2
2012,PHYSICS & ASTRONOMY,NA,P & S,female,1
2012,POLITICAL SCIENCE,NA,P & S,female,0
2012,PSYCHOLOGY,NA,P & S,female,6
2012,SOCIOLOGY,LAS,P & S,female,1
2012,STATISTICS,NA,P & S,female,1
2012,WORLD LANGUAGES AND CULTURES,NA,P & S,female,2
2013,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,6
2013,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,3
2013,CHEMISTRY,NA,P & S,female,8
2013,COMPUTER SCIENCE,NA,P & S,female,3
2013,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,6
2013,ENGLISH,NA,P & S,female,3
2013,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,10
2013,GEOLOGICAL AND ATMOSPHERIC SCIENCES,NA,P & S,female,2
2013,GREENLEE SCHOOL JOURNALISM/COMMUNICATION,NA,P & S,female,3
2013,INTENSIVE ENGLISH & ORIENTATION PROGRAM,NA,P & S,female,3
2013,LIBERAL ARTS & SCI STUDENT ACADEMIC SRV,NA,P & S,female,7
2013,LIBERAL ARTS & SCIENCES ADMINISTRATION,NA,P & S,female,15
2013,MATHEMATICS,NA,P & S,female,3
2013,MUSIC AND THEATRE,NA,P & S,female,2
2013,PHYSICS & ASTRONOMY,NA,P & S,female,1
2013,POLITICAL SCIENCE,NA,P & S,female,0
2013,PSYCHOLOGY,NA,P & S,female,5
2013,SOCIOLOGY,LAS,P & S,female,2
2013,STATISTICS,NA,P & S,female,1
2013,WORLD LANGUAGES AND CULTURES,NA,P & S,female,2
2014,BIOCHEMISTRY/BIOPHYSICS & MOLC BIOL,LAS,P & S,female,6
2014,CARRIE CHAPMAN CATT CENTER,NA,P & S,female,3
2014,CHEMISTRY,NA,P & S,female,8
2014,COMPUTER SCIENCE,NA,P & S,female,3
2014,"ECOLOGY, EVOLUTION & ORGANISMAL BIOL",LAS,P & S,female,9
2014,ENGLISH,NA,P & S,female,4
2014,"GENETICS, DEVELOPMENT & CELL BIOLOGY",LAS,P & S,female,10
