Major,Gender,Year,Number
Advertising,Female,2010,65
Advertising,Male,2010,24
Anthropology,Female,2010,68
Anthropology,Male,2010,27
Biochemistry,Female,2010,81
Biochemistry,Male,2010,58
Bioinfo & Com B,Female,2010,5
Bioinfo & Com B,Male,2010,6
Biol/Pre-Med Il,Female,2010,10
Biol/Pre-Med Il,Male,2010,4
Biology,Female,2010,201
Biology,Male,2010,150
Biophysics,Female,2010,2
Biophysics,Male,2010,3
Chemistry,Female,2010,47
Chemistry,Male,2010,71
Comm Studies,Female,2010,153
Comm Studies,Male,2010,80
Computer Sc,Female,2010,10
Computer Sc,Male,2010,107
Criminal Jst St,Female,2010,NA
Criminal Jst St,Male,2010,NA
Earth Science,Female,2010,5
Earth Science,Male,2010,6
Economics,Female,2010,14
Economics,Male,2010,56
English,Female,2010,173
English,Male,2010,70
Environ Sci LAS,Female,2010,16
Environ Sci LAS,Male,2010,33
French,Female,2010,10
Genetics-LAS,Female,2010,58
Genetics-LAS,Male,2010,22
Geology,Female,2010,14
Geology,Male,2010,30
German,Female,2010,4
German,Male,2010,8
History,Female,2010,89
History,Male,2010,207
Interdisc St,Female,2010,98
Interdisc St,Male,2010,199
Intnsv Engl LAS,Female,2010,69
Intnsv Engl LAS,Male,2010,117
Journ/Mass Comm,Female,2010,111
Journ/Mass Comm,Male,2010,50
Lib Arts/Sc Crt,Male,2010,NA
Lib Arts/Sc Opt,Female,2010,NA
Lib Arts/Sc Opt,Male,2010,NA
Lib Arts/Sc Spc,Female,2010,75
Lib Arts/Sc Spc,Male,2010,85
Liberal Studies,Female,2010,55
Liberal Studies,Male,2010,75
Linguistics,Female,2010,29
Linguistics,Male,2010,9
Mathematics,Female,2010,55
Mathematics,Male,2010,104
Meteorology,Female,2010,42
Meteorology,Male,2010,73
Music,Female,2010,47
Music,Male,2010,70
Open Option-LAS,Female,2010,359
Open Option-LAS,Male,2010,321
P-Prof Hlth Prg,Female,2010,53
P-Prof Hlth Prg,Male,2010,17
Performing Arts,Female,2010,34
Performing Arts,Male,2010,28
Philosophy,Female,2010,2
Philosophy,Male,2010,18
Physics,Female,2010,11
Physics,Male,2010,71
Political Sc,Female,2010,84
Political Sc,Male,2010,168
Pre-Advertising,Female,2010,63
Pre-Advertising,Male,2010,51
Pre-Computer Sc,Female,2010,14
Pre-Computer Sc,Male,2010,127
Pre-Journ/Ms Cm,Female,2010,149
Pre-Journ/Ms Cm,Male,2010,66
Pre-Liberal St,Female,2010,21
Pre-Liberal St,Male,2010,25
PreBiol/Med Ill,Female,2010,23
PreBiol/Med Ill,Male,2010,7
Prep Human Med,Female,2010,51
Prep Human Med,Male,2010,25
Prep Law,Female,2010,12
Prep Law,Male,2010,5
Psychology,Female,2010,376
Psychology,Male,2010,198
Public Relation,Female,2010,NA
Public Relation,Male,2010,NA
Religious St,Female,2010,8
Religious St,Male,2010,11
Russian St,Female,2010,4
Sociology,Female,2010,74
Sociology,Male,2010,37
Software Engr,Female,2010,2
Software Engr,Male,2010,64
Spanish,Female,2010,29
Spanish,Male,2010,8
Speech Comm,Female,2010,20
Speech Comm,Male,2010,15
Statistics,Female,2010,42
Statistics,Male,2010,50
Technical Comm,Female,2010,14
Technical Comm,Male,2010,7
Women's Studies,Female,2010,12
Women's Studies,Male,2010,NA
World Lng & Cul,Female,2010,32
World Lng & Cul,Male,2010,21
Advertising,Female,2011,58
Advertising,Male,2011,31
Anthropology,Female,2011,72
Anthropology,Male,2011,24
Biochemistry,Female,2011,73
Biochemistry,Male,2011,60
Bioinfo & Com B,Female,2011,4
Bioinfo & Com B,Male,2011,5
Biol/Pre-Med Il,Female,2011,17
Biol/Pre-Med Il,Male,2011,3
Biology,Female,2011,221
Biology,Male,2011,159
Biophysics,Female,2011,1
Biophysics,Male,2011,5
Chemistry,Female,2011,47
Chemistry,Male,2011,70
Comm Studies,Female,2011,152
Comm Studies,Male,2011,87
Computer Sc,Female,2011,10
Computer Sc,Male,2011,132
Criminal Jst St,Female,2011,NA
Criminal Jst St,Male,2011,NA
Earth Science,Female,2011,5
Earth Science,Male,2011,6
Economics,Female,2011,20
Economics,Male,2011,59
English,Female,2011,166
English,Male,2011,70
Environ Sci LAS,Female,2011,30
Environ Sci LAS,Male,2011,29
French,Female,2011,2
Genetics-LAS,Female,2011,52
Genetics-LAS,Male,2011,27
Geology,Female,2011,17
Geology,Male,2011,35
German,Female,2011,2
German,Male,2011,3
History,Female,2011,104
History,Male,2011,227
Interdisc St,Female,2011,106
Interdisc St,Male,2011,220
Intnsv Engl LAS,Female,2011,43
Intnsv Engl LAS,Male,2011,80
Journ/Mass Comm,Female,2011,131
Journ/Mass Comm,Male,2011,60
Lib Arts/Sc Crt,Male,2011,NA
Lib Arts/Sc Opt,Female,2011,6
Lib Arts/Sc Opt,Male,2011,3
Lib Arts/Sc Spc,Female,2011,94
Lib Arts/Sc Spc,Male,2011,87
Liberal Studies,Female,2011,61
Liberal Studies,Male,2011,77
Linguistics,Female,2011,33
Linguistics,Male,2011,9
Mathematics,Female,2011,65
Mathematics,Male,2011,110
Meteorology,Female,2011,40
Meteorology,Male,2011,68
Music,Female,2011,50
Music,Male,2011,62
Open Option-LAS,Female,2011,408
Open Option-LAS,Male,2011,334
P-Prof Hlth Prg,Female,2011,34
P-Prof Hlth Prg,Male,2011,20
Performing Arts,Female,2011,31
Performing Arts,Male,2011,30
Philosophy,Female,2011,5
Philosophy,Male,2011,16
Physics,Female,2011,19
Physics,Male,2011,69
Political Sc,Female,2011,80
Political Sc,Male,2011,156
Pre-Advertising,Female,2011,53
Pre-Advertising,Male,2011,35
Pre-Computer Sc,Female,2011,15
Pre-Computer Sc,Male,2011,139
Pre-Journ/Ms Cm,Female,2011,122
Pre-Journ/Ms Cm,Male,2011,66
Pre-Liberal St,Female,2011,24
Pre-Liberal St,Male,2011,42
PreBiol/Med Ill,Female,2011,25
PreBiol/Med Ill,Male,2011,4
Prep Human Med,Female,2011,52
Prep Human Med,Male,2011,28
Prep Law,Female,2011,13
Prep Law,Male,2011,6
Psychology,Female,2011,410
Psychology,Male,2011,205
Public Relation,Female,2011,NA
Public Relation,Male,2011,NA
Religious St,Female,2011,11
Religious St,Male,2011,7
Russian St,Female,2011,NA
Sociology,Female,2011,55
Sociology,Male,2011,40
Software Engr,Female,2011,7
Software Engr,Male,2011,83
Spanish,Female,2011,17
Spanish,Male,2011,6
Speech Comm,Female,2011,22
Speech Comm,Male,2011,23
Statistics,Female,2011,42
Statistics,Male,2011,48
Technical Comm,Female,2011,18
Technical Comm,Male,2011,9
Women's Studies,Female,2011,7
Women's Studies,Male,2011,NA
World Lng & Cul,Female,2011,43
World Lng & Cul,Male,2011,15
Advertising,Female,2012,58
Advertising,Male,2012,27
Anthropology,Female,2012,61
Anthropology,Male,2012,20
Biochemistry,Female,2012,65
Biochemistry,Male,2012,71
Bioinfo & Com B,Female,2012,4
Bioinfo & Com B,Male,2012,3
Biol/Pre-Med Il,Female,2012,15
Biol/Pre-Med Il,Male,2012,3
Biology,Female,2012,244
Biology,Male,2012,168
Biophysics,Female,2012,NA
Biophysics,Male,2012,4
Chemistry,Female,2012,52
Chemistry,Male,2012,69
Comm Studies,Female,2012,142
Comm Studies,Male,2012,76
Computer Sc,Female,2012,15
Computer Sc,Male,2012,149
Criminal Jst St,Female,2012,NA
Criminal Jst St,Male,2012,NA
Earth Science,Female,2012,5
Earth Science,Male,2012,6
Economics,Female,2012,24
Economics,Male,2012,59
English,Female,2012,166
English,Male,2012,63
Environ Sci LAS,Female,2012,28
Environ Sci LAS,Male,2012,23
French,Female,2012,NA
Genetics-LAS,Female,2012,44
Genetics-LAS,Male,2012,24
Geology,Female,2012,17
Geology,Male,2012,33
German,Female,2012,2
German,Male,2012,NA
History,Female,2012,114
History,Male,2012,209
Interdisc St,Female,2012,115
Interdisc St,Male,2012,211
Intnsv Engl LAS,Female,2012,27
Intnsv Engl LAS,Male,2012,45
Journ/Mass Comm,Female,2012,136
Journ/Mass Comm,Male,2012,52
Lib Arts/Sc Crt,Male,2012,NA
Lib Arts/Sc Opt,Female,2012,5
Lib Arts/Sc Opt,Male,2012,7
Lib Arts/Sc Spc,Female,2012,92
Lib Arts/Sc Spc,Male,2012,98
Liberal Studies,Female,2012,55
Liberal Studies,Male,2012,68
Linguistics,Female,2012,45
Linguistics,Male,2012,13
Mathematics,Female,2012,68
Mathematics,Male,2012,103
Meteorology,Female,2012,32
Meteorology,Male,2012,68
Music,Female,2012,55
Music,Male,2012,60
Open Option-LAS,Female,2012,430
Open Option-LAS,Male,2012,345
P-Prof Hlth Prg,Female,2012,35
P-Prof Hlth Prg,Male,2012,23
Performing Arts,Female,2012,36
Performing Arts,Male,2012,31
Philosophy,Female,2012,6
Philosophy,Male,2012,19
Physics,Female,2012,17
Physics,Male,2012,67
Political Sc,Female,2012,77
Political Sc,Male,2012,130
Pre-Advertising,Female,2012,56
Pre-Advertising,Male,2012,35
Pre-Computer Sc,Female,2012,18
Pre-Computer Sc,Male,2012,159
Pre-Journ/Ms Cm,Female,2012,137
Pre-Journ/Ms Cm,Male,2012,81
Pre-Liberal St,Female,2012,24
