Department,n_years,avg_female,sd_female,avg_male,sd_male,nu,t_val,sderror,diff,ci_lower,ci_upper,dept,dept_code,dept_f,dept_new,male_female,not_enough
Advertising [STATA 4],11,74.27272727272727,34.070781937287286,40.63636363636363,29.82037131651022,19.655110334771877,2.0883124261811026,13.651748896529128,-33.63636363636363,-62.14548049608956,-5.127246776637701,Advertising ,STATA 4],Advertising ,Advertising ,Significantly More Female,3 or more years
Anthropology [STATA 5],11,55.72727272727273,10.393179581734447,20.545454545454547,4.107642544419764,13.049644097429894,2.159533510095248,3.369528009716563,-35.18181818181818,-42.45842683200564,-27.905209531630717,Anthropology ,STATA 5],Anthropology ,Anthropology ,Significantly More Female,3 or more years
Applied Physics,2,0,0,0.5,0.7071067811865476,1.0000000000000002,12.706204736174692,0.5,0.5,-5.853102368087346,6.853102368087346,Applied Physics,NA,Applied Physics,Applied Physics,Not Significantly Different,Not enough data
Biochemistry [STATA 7],11,61.54545454545455,13.938175177286562,62.63636363636363,12.690726750448356,19.826721160992502,2.0871327795583023,5.683527015757291,1.0909090909090864,-10.771366447183132,12.953184629001305,Biochemistry ,STATA 7],Biochemistry ,Biochemistry ,Not Significantly Different,3 or more years
Bioinformatics and Computational Biology [STATA 8],8,5.25,2.434865792722759,5.375,2.1998376563477846,13.858182016170746,2.146847666074193,1.1601647050557704,0.125,-2.365696889310635,2.615696889310635,Bioinformatics and Computational Biology ,STATA 8],Bioinformatics and Computational Biology ,Bioinformatics and Computational Biology ,Not Significantly Different,3 or more years
Biological/Pre-Medical Illustration [STATA 9],11,12.363636363636363,4.904543348217595,3.4545454545454546,1.2933395813657265,11.384085563224327,2.191958965765473,1.529327621932793,-8.909090909090908,-12.261314301579283,-5.556867516602534,Biological/Pre-Medical Illustration ,STATA 9],Biological/Pre-Medical Illustration ,Biological/Pre-Medical Illustration ,Significantly More Female,3 or more years
Biology [STATA 10],11,246,26.1189586316147,167.63636363636363,12.052159368949011,14.073731637477971,2.1437330051203007,8.673127492194945,-78.36363636363637,-96.95650602627094,-59.770766701001804,Biology ,STATA 10],Biology ,Biology ,Significantly More Female,3 or more years
Biophysics [STATA 11],11,2.2,1.398411797560202,5.454545454545454,1.8635254955935732,18.550865432420736,2.0964591120991782,0.7024814994835243,3.254545454545454,1.7818217138721253,4.727269195218783,Biophysics ,STATA 11],Biophysics ,Biophysics ,Significantly More Male,3 or more years
Botany,2,1,0,1.5,0.7071067811865476,1.0000000000000002,12.706204736174692,0.5,0.5,-5.853102368087346,6.853102368087346,Botany,NA,Botany,Botany,Not Significantly Different,Not enough data
Chemistry [STATA 13],11,49.81818181818182,12.59220538125218,69.0909090909091,4.3463673442208135,12.34940726666973,2.171995301017984,4.0164949153408225,19.272727272727273,10.54891919004438,27.996535355410167,Chemistry ,STATA 13],Chemistry ,Chemistry ,Significantly More Male,3 or more years
Communication Studies [STATA 14],11,146,11.497825881443848,71.9090909090909,9.994543966130175,19.61978653311608,2.0885579594918635,4.5933836715126475,-74.0909090909091,-83.6844571190468,-64.49736106277139,Communication Studies ,STATA 14],Communication Studies ,Communication Studies ,Significantly More Female,3 or more years
Computer Science [STATA 15],11,12.272727272727273,6.1333662713213055,143,48.17883352676775,10.324041910689608,2.218695567677173,14.643702282173235,130.72727272727272,98.23735537943085,163.2171900751146,Computer Science ,STATA 15],Computer Science ,Computer Science ,Significantly More Male,3 or more years
Earth Science [STATA 16],11,3.8181818181818183,1.8877596148970779,6,2.1447610589527217,19.68279228703929,2.0881206645774073,0.8614805629441552,2.1818181818181817,0.3829428162027133,3.98069354743365,Earth Science ,STATA 16],Earth Science ,Earth Science ,Significantly More Male,3 or more years
Economics [STATA 17],11,18.727272727272727,5.236237372215074,57.27272727272727,5.06144068602822,19.976989419734725,2.086117490200326,2.19578860624282,38.54545454545455,33.964781529188805,43.12612756172029,Economics ,STATA 17],Economics ,Economics ,Significantly More Male,3 or more years
English [STATA 18],11,165,14.219704638282751,76.0909090909091,8.17868626925554,15.963655339492158,2.120297622701718,4.9459892759037976,-88.9090909090909,-99.39606021269792,-78.4221216054839,English ,STATA 18],English ,English ,Significantly More Female,3 or more years
Environmental Science (LAS) [STATA 19],11,23.454545454545453,8.892284704884752,27,8.12403840463596,19.83890629251134,2.087049842639936,3.6315877728709953,3.5454545454545467,-4.03385014444898,11.124759235358074,Environmental Science (LAS) ,STATA 19],Environmental Science (LAS) ,Environmental Science (LAS) ,Not Significantly Different,3 or more years
French,7,10.857142857142858,5.047394424471944,1.4285714285714286,1.5118578920369088,7.068038221461273,2.360017738532957,1.991478444412046,-9.428571428571429,-14.128495883289876,-4.728646973852981,French,NA,French,French,Significantly More Female,3 or more years
Genetics (LAS) [STATA 21],11,46.54545454545455,12.25041743259091,24.454545454545453,10.103104833303833,19.30056057115748,2.090820192279444,4.787725352355414,-22.090909090909093,-32.101181932702005,-12.080636249116179,Genetics (LAS) ,STATA 21],Genetics (LAS) ,Genetics (LAS) ,Significantly More Female,3 or more years
Geology [STATA 22],11,12.727272727272727,6.798395532637228,29.09090909090909,10.329129154527456,17.29496878703676,2.107077834380888,3.728381209892705,16.363636363636363,8.507646958149248,24.21962576912348,Geology ,STATA 22],Geology ,Geology ,Significantly More Male,3 or more years
German,8,5,2.5634797778466227,4.571428571428571,2.439750182371333,13.965877296720414,2.145278421577038,1.2511899098363086,-0.4285714285714288,-3.1127221434381815,2.255579286295324,German,NA,German,German,Not Significantly Different,3 or more years
History [STATA 24],11,79,22.92596780945136,189.1818181818182,28.5160242033078,19.117934010737383,2.092150519638483,11.032034496137461,110.18181818181819,87.10114147805453,133.26249488558184,History ,STATA 24],History ,History ,Significantly More Male,3 or more years
Intensive English and Orientation Program LAS [Stata 1],11,34.36363636363637,18.927613305817125,66.54545454545455,41.61577498104207,13.967422912190166,2.1452560916348378,13.78446844270514,32.18181818181818,2.6106032851567917,61.75303307847957,Intensive English and Orientation Program LAS ,Stata 1],Intensive English and Orientation Program LAS ,Intensive English and Orientation Program LAS ,Significantly More Male,3 or more years
Interdisciplinary Studies [STATA 25],11,88.63636363636364,41.44459609472079,172.63636363636363,80.74685470936032,14.926900359538092,2.1323590315360303,27.365720246836172,83.99999999999999,25.646459277170464,142.3535407228295,Interdisciplinary Studies ,STATA 25],Interdisciplinary Studies ,Interdisciplinary Studies ,Significantly More Male,3 or more years
Journalism and Mass Communication [STATA 26],11,146,50.51138485529772,85.18181818181819,35.628129846564164,17.97607164821066,2.101122515935874,18.637117501382303,-60.81818181818181,-99.9770490324787,-21.659314603884916,Journalism and Mass Communication ,STATA 26],Journalism and Mass Communication ,Journalism and Mass Communication ,Significantly More Female,3 or more years
Liberal Arts and Sciences Certificate (Non-Degree),3,5.5,0.7071067811865476,3.6666666666666665,3.0550504633038935,2.213672496025436,3.9281752154147185,1.8104634152000358,-1.8333333333333335,-8.945150849337201,5.2784841826705335,Liberal Arts and Sciences Certificate (Non-Degree),NA,Liberal Arts and Sciences Certificate (Non-Degree),Liberal Arts and Sciences Certificate (Non-Degree),Not Significantly Different,3 or more years
Liberal Arts and Sciences Specials (Non-Degree) [STATA 2],11,100.18181818181819,16.845285285908233,96.54545454545455,15.279814372980034,19.812697112219304,2.0872283668589864,6.857221565860752,-3.6363636363636402,-17.9489510064654,10.67622373373812,Liberal Arts and Sciences Specials (Non-Degree) ,STATA 2],Liberal Arts and Sciences Specials (Non-Degree) ,Liberal Arts and Sciences Specials (Non-Degree) ,Not Significantly Different,3 or more years
