dept,dept_code,n_female,n_male,n_enrolled_all,prop_female,prop_male,last_year,n_2015,sigma_diff,ci_lower,ci_upper,dept_f,dept_new,change_dir
Advertising ,STATA 4],817,447,1264,0.6463607594936709,0.3536392405063291,2015,224,0.00994688076965848,0.6268648731851403,0.6658566458022015,Advertising ,Advertising ,More Female
Anthropology ,STATA 5],613,226,839,0.7306317044100119,0.2693682955899881,2015,50,0.009299626318575564,0.7124044368256038,0.74885897199442,Anthropology ,Anthropology ,More Female
Biochemistry ,STATA 7],677,689,1366,0.4956076134699854,0.5043923865300146,2015,144,0.013647187955198398,0.46885912507779653,0.5223561018621743,Biochemistry ,Biochemistry ,Not Significantly Different
Bioinformatics and Computational Biology ,STATA 8],42,43,85,0.49411764705882355,0.5058823529411764,2015,18,0.054870645212954205,0.3865711824414333,0.6016641116762138,Bioinformatics and Computational Biology ,Bioinformatics and Computational Biology ,Not Significantly Different
Biological/Pre-Medical Illustration ,STATA 9],136,38,174,0.7816091954022989,0.2183908045977011,2015,18,0.01655616417011398,0.7491591136288756,0.8140592771757222,Biological/Pre-Medical Illustration ,Biological/Pre-Medical Illustration ,More Female
Biology ,STATA 10],2706,1844,4550,0.5947252747252747,0.4052747252747253,2015,416,0.006008192263398113,0.5829492178890144,0.606501331561535,Biology ,Biology ,More Female
Biophysics ,STATA 11],22,60,78,0.28205128205128205,0.717948717948718,2015,9,0.08129168450268892,0.12271958042601178,0.4413829836765523,Biophysics ,Biophysics ,More Male
Chemistry ,STATA 13],548,760,1308,0.41896024464831805,0.581039755351682,2015,153,0.01606578594583683,0.38747130419447784,0.45044918510215826,Chemistry ,Chemistry ,More Male
Communication Studies ,STATA 14],1606,791,2397,0.6700041718815186,0.3299958281184814,2015,212,0.006740225592748043,0.6567933297197325,0.6832150140433048,Communication Studies ,Communication Studies ,More Female
Computer Science ,STATA 15],135,1573,1708,0.07903981264637003,0.9209601873536299,2015,257,0.02228419361223467,0.03536279316639008,0.12271683212634998,Computer Science ,Computer Science ,More Male
Earth Science ,STATA 16],42,66,108,0.3888888888888889,0.6111111111111112,2015,12,0.058804194084128555,0.2736326684839969,0.5041451092937809,Earth Science ,Earth Science ,Not Significantly Different
Economics ,STATA 17],206,630,836,0.24641148325358853,0.7535885167464115,2015,91,0.026063403841843722,0.19532721172357484,0.29749575478360224,Economics ,Economics ,More Male
English ,STATA 18],1815,837,2652,0.6843891402714932,0.3156108597285068,2015,250,0.006128655057386659,0.6723769763590154,0.6964013041839711,English ,English ,More Female
Environmental Science (LAS) ,STATA 19],258,297,555,0.4648648648648649,0.5351351351351351,2015,67,0.022715221425850203,0.4203430308701985,0.5093866988595313,Environmental Science (LAS) ,Environmental Science (LAS) ,Not Significantly Different
Genetics (LAS) ,STATA 21],512,269,781,0.6555697823303457,0.3444302176696543,2015,110,0.012324682190361976,0.6314134052372362,0.6797261594234552,Genetics (LAS) ,Genetics (LAS) ,More Female
Geology ,STATA 22],140,320,460,0.30434782608695654,0.6956521739130435,2015,59,0.032434949851836994,0.24077532437735605,0.36792032779655703,Geology ,Geology ,More Male
History ,STATA 24],869,2081,2950,0.2945762711864407,0.7054237288135593,2015,247,0.012987903592179056,0.26911998014576977,0.32003256222711163,History ,History ,More Male
Intensive English and Orientation Program LAS ,Stata 1],378,732,1110,0.34054054054054056,0.6594594594594594,2015,66,0.01979368310078244,0.301744921663007,0.37933615941807414,Intensive English and Orientation Program LAS ,Intensive English and Orientation Program LAS ,More Male
Interdisciplinary Studies ,STATA 25],975,1899,2874,0.33924843423799583,0.6607515657620042,2015,378,0.012325223946140945,0.3150909953035596,0.36340587317243206,Interdisciplinary Studies ,Interdisciplinary Studies ,More Male
Journalism and Mass Communication ,STATA 26],1606,937,2543,0.6315375540699961,0.3684624459300039,2015,320,0.007306679377907985,0.6172164624892965,0.6458586456506957,Journalism and Mass Communication ,Journalism and Mass Communication ,More Female
