year,period,periodName,cpi,area,area_code,date
2018,12,December,236.796,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-12-01
2018,11,November,237.511,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-11-01
2018,10,October,238.89200000000002,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-10-01
2018,9,September,238.95700000000002,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-09-01
2018,8,August,238.098,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-08-01
2018,7,July,237.87,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-07-01
2018,6,June,238.54,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-06-01
2018,5,May,238.91,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-05-01
2018,4,April,237.94,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-04-01
2018,3,March,236.38800000000003,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-03-01
2018,2,February,236.306,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-02-01
2018,1,January,236.267,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2018-01-01
2017,12,December,234.29299999999998,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-12-01
2017,11,November,235.206,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-11-01
2017,10,October,234.159,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-10-01
2017,9,September,235.177,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-09-01
2017,8,August,234.2,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-08-01
2017,7,July,233.51399999999998,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-07-01
2017,6,June,233.407,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-06-01
2017,5,May,233.44299999999998,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-05-01
2017,4,April,233.066,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-04-01
2017,3,March,232.225,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-03-01
2017,2,February,232.491,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-02-01
2017,1,January,232.155,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2017-01-01
2016,12,December,230.476,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2016-12-01
2016,11,November,230.969,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2016-11-01
2016,10,October,230.506,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2016-10-01
2016,9,September,230.282,"Chicago-Naperville-Elgin, IL-IN-WI",S23A,2016-09-01
