year,pop_est,area_code
2005,9272117,S23A
2006,9506859,S23A
2007,9463477,S23A
2008,9502094,S23A
2009,9461816,S23A
2010,9384661,S23A
2011,9425706,S23A
2012,9460763,S23A
2013,9488493,S23A
2014,9516448,S23A
2015,9557880,S23A
2016,9540144,S23A
2017,9520784,S23A
2018,9498716,S23A
2005,5119490,S35A
2006,5288670,S35A
2007,5263322,S35A
2008,5306742,S35A
2009,5332297,S35A
2010,5416691,S35A
2011,5503801,S35A
2012,5603696,S35A
2013,5759330,S35A
2014,5863608,S35A
2015,6082465,S35A
2016,6139035,S35A
2017,6200001,S35A
2018,6249950,S35A
2000,9098316,S23A
2000,4796183,S35A
