year,period,periodName,value,seriesID,date
2018,12,December,251.23299999999998,CUUR0000SA0,2018-12-01
2018,11,November,252.038,CUUR0000SA0,2018-11-01
2018,10,October,252.88500000000002,CUUR0000SA0,2018-10-01
2018,9,September,252.439,CUUR0000SA0,2018-09-01
2018,8,August,252.146,CUUR0000SA0,2018-08-01
2018,7,July,252.006,CUUR0000SA0,2018-07-01
2018,6,June,251.989,CUUR0000SA0,2018-06-01
2018,5,May,251.58800000000002,CUUR0000SA0,2018-05-01
2018,4,April,250.546,CUUR0000SA0,2018-04-01
2018,3,March,249.554,CUUR0000SA0,2018-03-01
2018,2,February,248.991,CUUR0000SA0,2018-02-01
2018,1,January,247.86700000000002,CUUR0000SA0,2018-01-01
2017,12,December,246.524,CUUR0000SA0,2017-12-01
2017,11,November,246.66899999999998,CUUR0000SA0,2017-11-01
2017,10,October,246.66299999999998,CUUR0000SA0,2017-10-01
2017,9,September,246.819,CUUR0000SA0,2017-09-01
2017,8,August,245.51899999999998,CUUR0000SA0,2017-08-01
2017,7,July,244.786,CUUR0000SA0,2017-07-01
2017,6,June,244.955,CUUR0000SA0,2017-06-01
2017,5,May,244.73299999999998,CUUR0000SA0,2017-05-01
2017,4,April,244.524,CUUR0000SA0,2017-04-01
2017,3,March,243.80100000000002,CUUR0000SA0,2017-03-01
2017,2,February,243.60299999999998,CUUR0000SA0,2017-02-01
2017,1,January,242.839,CUUR0000SA0,2017-01-01
2016,12,December,241.43200000000002,CUUR0000SA0,2016-12-01
2016,11,November,241.353,CUUR0000SA0,2016-11-01
2016,10,October,241.72899999999998,CUUR0000SA0,2016-10-01
2016,9,September,241.42800000000003,CUUR0000SA0,2016-09-01
2016,8,August,240.849,CUUR0000SA0,2016-08-01
2016,7,July,240.62800000000001,CUUR0000SA0,2016-07-01
2016,6,June,241.018,CUUR0000SA0,2016-06-01
2016,5,May,240.22899999999998,CUUR0000SA0,2016-05-01
2016,4,April,239.261,CUUR0000SA0,2016-04-01
2016,3,March,238.132,CUUR0000SA0,2016-03-01
2016,2,February,237.111,CUUR0000SA0,2016-02-01
2016,1,January,236.916,CUUR0000SA0,2016-01-01
2015,12,December,236.525,CUUR0000SA0,2015-12-01
2015,11,November,237.336,CUUR0000SA0,2015-11-01
2015,10,October,237.83800000000002,CUUR0000SA0,2015-10-01
2015,9,September,237.945,CUUR0000SA0,2015-09-01
2015,8,August,238.316,CUUR0000SA0,2015-08-01
2015,7,July,238.654,CUUR0000SA0,2015-07-01
2015,6,June,238.638,CUUR0000SA0,2015-06-01
2015,5,May,237.805,CUUR0000SA0,2015-05-01
2015,4,April,236.599,CUUR0000SA0,2015-04-01
2015,3,March,236.11899999999997,CUUR0000SA0,2015-03-01
2015,2,February,234.722,CUUR0000SA0,2015-02-01
2015,1,January,233.707,CUUR0000SA0,2015-01-01
2014,12,December,234.812,CUUR0000SA0,2014-12-01
2014,11,November,236.151,CUUR0000SA0,2014-11-01
2014,10,October,237.433,CUUR0000SA0,2014-10-01
2014,9,September,238.031,CUUR0000SA0,2014-09-01
2014,8,August,237.85200000000003,CUUR0000SA0,2014-08-01
2014,7,July,238.25,CUUR0000SA0,2014-07-01
2014,6,June,238.343,CUUR0000SA0,2014-06-01
2014,5,May,237.9,CUUR0000SA0,2014-05-01
2014,4,April,237.072,CUUR0000SA0,2014-04-01
2014,3,March,236.29299999999998,CUUR0000SA0,2014-03-01
2014,2,February,234.781,CUUR0000SA0,2014-02-01
2014,1,January,233.916,CUUR0000SA0,2014-01-01
2013,12,December,233.04899999999998,CUUR0000SA0,2013-12-01
2013,11,November,233.069,CUUR0000SA0,2013-11-01
2013,10,October,233.546,CUUR0000SA0,2013-10-01
2013,9,September,234.14899999999997,CUUR0000SA0,2013-09-01
2013,8,August,233.877,CUUR0000SA0,2013-08-01
2013,7,July,233.596,CUUR0000SA0,2013-07-01
2013,6,June,233.504,CUUR0000SA0,2013-06-01
2013,5,May,232.945,CUUR0000SA0,2013-05-01
2013,4,April,232.531,CUUR0000SA0,2013-04-01
2013,3,March,232.77299999999997,CUUR0000SA0,2013-03-01
2013,2,February,232.166,CUUR0000SA0,2013-02-01
2013,1,January,230.28,CUUR0000SA0,2013-01-01
2012,12,December,229.601,CUUR0000SA0,2012-12-01
2012,11,November,230.221,CUUR0000SA0,2012-11-01
2012,10,October,231.317,CUUR0000SA0,2012-10-01
2012,9,September,231.407,CUUR0000SA0,2012-09-01
2012,8,August,230.379,CUUR0000SA0,2012-08-01
2012,7,July,229.10399999999998,CUUR0000SA0,2012-07-01
2012,6,June,229.478,CUUR0000SA0,2012-06-01
2012,5,May,229.815,CUUR0000SA0,2012-05-01
