year,artist,track,date.entered,week,position
2000,2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk1,87
2000,2Ge+her,The Hardest Part Of ...,2000-09-02,wk1,91
2000,3 Doors Down,Kryptonite,2000-04-08,wk1,81
2000,3 Doors Down,Loser,2000-10-21,wk1,76
2000,504 Boyz,Wobble Wobble,2000-04-15,wk1,57
2000,98^0,Give Me Just One Nig...,2000-08-19,wk1,51
2000,A*Teens,Dancing Queen,2000-07-08,wk1,97
2000,Aaliyah,I Don't Wanna,2000-01-29,wk1,84
2000,Aaliyah,Try Again,2000-03-18,wk1,59
2000,"Adams, Yolanda",Open My Heart,2000-08-26,wk1,76
2000,"Adkins, Trace",More,2000-04-29,wk1,84
2000,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,wk1,57
2000,"Aguilera, Christina",I Turn To You,2000-04-15,wk1,50
2000,"Aguilera, Christina",What A Girl Wants,1999-11-27,wk1,71
2000,Alice Deejay,Better Off Alone,2000-04-08,wk1,79
2000,"Allan, Gary",Smoke Rings In The D...,2000-01-22,wk1,80
2000,Amber,Sexual,1999-07-17,wk1,99
2000,Anastacia,I'm Outta Love,2000-04-01,wk1,92
2000,"Anthony, Marc",My Baby You,2000-09-16,wk1,82
2000,"Anthony, Marc",You Sang To Me,2000-02-26,wk1,77
2000,Avant,My First Love,2000-11-04,wk1,70
2000,Avant,Separated,2000-04-29,wk1,62
2000,BBMak,Back Here,2000-04-29,wk1,99
2000,"Backstreet Boys, The",Shape Of My Heart,2000-10-14,wk1,39
2000,"Backstreet Boys, The",Show Me The Meaning ...,2000-01-01,wk1,74
2000,"Backstreet Boys, The",The One,2000-05-27,wk1,58
2000,"Badu, Erkyah",Bag Lady,2000-08-19,wk1,67
2000,Baha Men,Who Let The Dogs Out,2000-07-22,wk1,99
2000,Barenaked Ladies,Pinch Me,2000-09-09,wk1,77
2000,Beenie Man,Girls Dem Sugar,2000-10-21,wk1,72
2000,Before Dark,Monica,2000-05-20,wk1,95
2000,"Bega, Lou",Tricky Tricky,2000-01-29,wk1,75
2000,Big Punisher,It's So Hard,2000-04-22,wk1,96
2000,Black Rob,Whoa!,2000-03-04,wk1,78
2000,"Black, Clint",Been There,2000-02-19,wk1,87
2000,Blaque,Bring It All To Me,1999-10-23,wk1,73
2000,"Blige, Mary J.",Deep Inside,1999-11-13,wk1,83
2000,"Blige, Mary J.",Give Me You,2000-04-15,wk1,97
2000,Blink-182,All The Small Things,1999-12-04,wk1,89
2000,Bloodhound Gang,The Bad Touch,2000-03-18,wk1,70
2000,Bon Jovi,It's My Life,2000-08-12,wk1,64
2000,"Braxton, Toni",He Wasn't Man Enough,2000-03-18,wk1,63
2000,"Braxton, Toni",Just Be A Man About ...,2000-07-29,wk1,76
2000,"Braxton, Toni",Spanish Guitar,2000-12-02,wk1,98
2000,"Brock, Chad",A Country Boy Can Su...,2000-01-01,wk1,93
2000,"Brock, Chad",Yes!,2000-04-08,wk1,90
2000,Brooks & Dunn,You'll Always Be Lov...,2000-06-10,wk1,95
2000,"Brooks, Garth",Do What You Gotta Do,2000-02-19,wk1,86
2000,"Byrd, Tracy",Put Your Hand In Min...,2000-01-29,wk1,81
2000,"Cagle, Chris",My Love Goes On And ...,2000-10-21,wk1,99
2000,Cam'ron,What Means The World...,2000-10-14,wk1,94
2000,"Carey, Mariah",Crybaby,2000-06-24,wk1,28
2000,"Carey, Mariah",Thank God I Found Yo...,1999-12-11,wk1,82
2000,"Carter, Aaron",Aaron's Party (Come ...,2000-08-26,wk1,99
2000,"Carter, Torrey",Take That,2000-06-24,wk1,94
2000,Changing Faces,That Other Woman,2000-09-30,wk1,80
2000,"Chesney, Kenny",I Lost It,2000-10-21,wk1,75
2000,"Chesney, Kenny",What I Need To Do,2000-04-01,wk1,79
2000,Clark Family Experience,Meanwhile Back At Th...,2000-11-18,wk1,87
2000,"Clark, Terri",A Little Gasoline,2000-12-16,wk1,75
2000,Common,The Light,2000-08-05,wk1,75
2000,Counting Crows,Hanginaround,1999-11-06,wk1,84
2000,Creed,Higher,1999-09-11,wk1,81
2000,Creed,With Arms Wide Open,2000-05-13,wk1,84
2000,"Cyrus, Billy Ray",You Won't Be Lonely ...,2000-09-23,wk1,97
