Year-Month,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,
,End Date,Value,End Date,Value,End Date,Value,End Date,Value,End Date,Value
1994-Nov,,,,,,,28-Nov,1.122,,
1994-Dec,5-Dec,1.086,12-Dec,1.057,19-Dec,1.039,26-Dec,1.027,,
1995-Jan,2-Jan,1.025,9-Jan,1.046,16-Jan,1.031,23-Jan,1.054,30-Jan,1.055
1995-Feb,6-Feb,1.045,13-Feb,1.04,20-Feb,1.031,27-Feb,1.052,,
1995-Mar,6-Mar,1.053,13-Mar,1.042,20-Mar,1.048,27-Mar,1.065,,
1995-Apr,3-Apr,1.091,10-Apr,1.109,17-Apr,1.123,24-Apr,1.148,,
1995-May,1-May,1.144,8-May,1.177,15-May,1.183,22-May,1.21,29-May,1.202
1995-Jun,5-Jun,1.202,12-Jun,1.195,19-Jun,1.181,26-Jun,1.169,,
1995-Jul,3-Jul,1.158,10-Jul,1.141,17-Jul,1.125,24-Jul,1.112,31-Jul,1.097
1995-Aug,7-Aug,1.102,14-Aug,1.102,21-Aug,1.108,28-Aug,1.096,,
1995-Sep,4-Sep,1.098,11-Sep,1.094,18-Sep,1.097,25-Sep,1.098,,
1995-Oct,2-Oct,1.091,9-Oct,1.076,16-Oct,1.059,23-Oct,1.05,30-Oct,1.033
1995-Nov,6-Nov,1.04,13-Nov,1.046,20-Nov,1.042,27-Nov,1.047,,
1995-Dec,4-Dec,1.053,11-Dec,1.049,18-Dec,1.089,25-Dec,1.087,,
1996-Jan,1-Jan,1.089,8-Jan,1.108,15-Jan,1.106,22-Jan,1.092,29-Jan,1.079
1996-Feb,5-Feb,1.079,12-Feb,1.078,19-Feb,1.089,26-Feb,1.131,,
1996-Mar,4-Mar,1.146,11-Mar,1.137,18-Mar,1.154,25-Mar,1.19,,
1996-Apr,1-Apr,1.196,8-Apr,1.22,15-Apr,1.257,22-Apr,1.245,29-Apr,1.257
1996-May,6-May,1.245,13-May,1.25,20-May,1.267,27-May,1.251,,
1996-Jun,3-Jun,1.239,10-Jun,1.233,17-Jun,1.231,24-Jun,1.217,,
1996-Jul,1-Jul,1.202,8-Jul,1.206,15-Jul,1.211,22-Jul,1.214,29-Jul,1.2
1996-Aug,5-Aug,1.183,12-Aug,1.179,19-Aug,1.196,26-Aug,1.205,,
1996-Sep,2-Sep,1.192,9-Sep,1.209,16-Sep,1.211,23-Sep,1.213,30-Sep,1.205
1996-Oct,7-Oct,1.191,14-Oct,1.216,21-Oct,1.213,28-Oct,1.241,,
1996-Nov,4-Nov,1.251,11-Nov,1.26,18-Nov,1.268,25-Nov,1.282,,
1996-Dec,2-Dec,1.276,9-Dec,1.274,16-Dec,1.255,23-Dec,1.243,30-Dec,1.237
1997-Jan,6-Jan,1.228,13-Jan,1.262,20-Jan,1.259,27-Jan,1.251,,
1997-Feb,3-Feb,1.246,10-Feb,1.232,17-Feb,1.216,24-Feb,1.218,,
1997-Mar,3-Mar,1.202,10-Mar,1.187,17-Mar,1.174,24-Mar,1.191,31-Mar,1.181
1997-Apr,7-Apr,1.179,14-Apr,1.173,21-Apr,1.182,28-Apr,1.183,,
1997-May,5-May,1.181,12-May,1.185,19-May,1.216,26-May,1.235,,
1997-Jun,2-Jun,1.238,9-Jun,1.227,16-Jun,1.212,23-Jun,1.198,30-Jun,1.185
1997-Jul,7-Jul,1.185,14-Jul,1.18,21-Jul,1.198,28-Jul,1.184,,
1997-Aug,4-Aug,1.216,11-Aug,1.263,18-Aug,1.248,25-Aug,1.26,,
1997-Sep,1-Sep,1.251,8-Sep,1.241,15-Sep,1.224,22-Sep,1.203,29-Sep,1.181
1997-Oct,6-Oct,1.19,13-Oct,1.176,20-Oct,1.162,27-Oct,1.149,,
1997-Nov,3-Nov,1.146,10-Nov,1.156,17-Nov,1.144,24-Nov,1.144,,
1997-Dec,1-Dec,1.128,8-Dec,1.108,15-Dec,1.095,22-Dec,1.087,29-Dec,1.073
1998-Jan,5-Jan,1.059,12-Jan,1.059,19-Jan,1.046,26-Jan,1.02,,
1998-Feb,2-Feb,1.038,9-Feb,1.036,16-Feb,1.022,23-Feb,1.05,,
1998-Mar,2-Mar,1.032,9-Mar,1.024,16-Mar,1.02,23-Mar,1.016,30-Mar,1.058
1998-Apr,6-Apr,1.045,13-Apr,1.033,20-Apr,1.044,27-Apr,1.065,,
1998-May,4-May,1.072,11-May,1.088,18-May,1.101,25-May,1.096,,
1998-Jun,1-Jun,1.085,8-Jun,1.109,15-Jun,1.089,22-Jun,1.072,29-Jun,1.083
1998-Jul,6-Jul,1.089,13-Jul,1.075,20-Jul,1.094,27-Jul,1.079,,
1998-Aug,3-Aug,1.06,10-Aug,1.052,17-Aug,1.039,24-Aug,1.026,31-Aug,1.023
1998-Sep,7-Sep,1.017,14-Sep,1.01,21-Sep,1.042,28-Sep,1.033,,
1998-Oct,5-Oct,1.044,12-Oct,1.038,19-Oct,1.032,26-Oct,1.024,,
1998-Nov,2-Nov,1.017,9-Nov,1.016,16-Nov,0.991,23-Nov,0.982,30-Nov,0.955
1998-Dec,7-Dec,0.924,14-Dec,0.921,21-Dec,0.929,28-Dec,0.921,,
1999-Jan,4-Jan,0.918,11-Jan,0.94,18-Jan,0.937,25-Jan,0.926,,
1999-Feb,1-Feb,0.922,8-Feb,0.924,15-Feb,0.91,22-Feb,0.883,,
1999-Mar,1-Mar,0.905,8-Mar,0.919,15-Mar,1,22-Mar,1.047,29-Mar,1.101
1999-Apr,5-Apr,1.114,12-Apr,1.13,19-Apr,1.115,26-Apr,1.106,,
1999-May,3-May,1.122,10-May,1.123,17-May,1.136,24-May,1.113,31-May,1.093
1999-Jun,7-Jun,1.114,14-Jun,1.103,21-Jun,1.138,28-Jun,1.11,,
1999-Jul,5-Jul,1.132,12-Jul,1.138,19-Jul,1.165,26-Jul,1.202,,
1999-Aug,2-Aug,1.19,9-Aug,1.188,16-Aug,1.244,23-Aug,1.227,30-Aug,1.226
1999-Sep,6-Sep,1.25,13-Sep,1.26,20-Sep,1.29,27-Sep,1.275,,
1999-Oct,4-Oct,1.257,11-Oct,1.236,18-Oct,1.209,25-Oct,1.232,,
1999-Nov,1-Nov,1.221,8-Nov,1.24,15-Nov,1.278,22-Nov,1.299,29-Nov,1.283
1999-Dec,6-Dec,1.274,13-Dec,1.284,20-Dec,1.276,27-Dec,1.294,,
2000-Jan,3-Jan,1.288,10-Jan,1.269,17-Jan,1.312,24-Jan,1.373,31-Jan,1.352
2000-Feb,7-Feb,1.364,14-Feb,1.406,21-Feb,1.479,28-Feb,1.476,,
2000-Mar,6-Mar,1.549,13-Mar,1.542,20-Mar,1.515,27-Mar,1.473,,
2000-Apr,3-Apr,1.475,10-Apr,1.43,17-Apr,1.387,24-Apr,1.394,,
2000-May,1-May,1.365,8-May,1.447,15-May,1.501,22-May,1.544,29-May,1.586
2000-Jun,5-Jun,1.636,12-Jun,1.788,19-Jun,1.875,26-Jun,1.802,,
2000-Jul,3-Jul,1.698,10-Jul,1.61,17-Jul,1.51,24-Jul,1.479,31-Jul,1.396
2000-Aug,7-Aug,1.409,14-Aug,1.382,21-Aug,1.443,28-Aug,1.462,,
2000-Sep,4-Sep,1.554,11-Sep,1.584,18-Sep,1.583,25-Sep,1.544,,
2000-Oct,2-Oct,1.498,9-Oct,1.463,16-Oct,1.549,23-Oct,1.597,30-Oct,1.569
2000-Nov,6-Nov,1.532,13-Nov,1.538,20-Nov,1.518,27-Nov,1.526,,
2000-Dec,4-Dec,1.486,11-Dec,1.424,18-Dec,1.399,25-Dec,1.411,,
2001-Jan,1-Jan,1.401,8-Jan,1.455,15-Jan,1.532,22-Jan,1.513,29-Jan,1.492
2001-Feb,5-Feb,1.455,12-Feb,1.521,19-Feb,1.45,26-Feb,1.421,,
2001-Mar,5-Mar,1.396,12-Mar,1.404,19-Mar,1.396,26-Mar,1.41,,
2001-Apr,2-Apr,1.471,9-Apr,1.536,16-Apr,1.595,23-Apr,1.68,30-Apr,1.672
2001-May,7-May,1.813,14-May,1.812,21-May,1.757,28-May,1.799,,
2001-Jun,4-Jun,1.751,11-Jun,1.66,18-Jun,1.561,25-Jun,1.434,,
2001-Jul,2-Jul,1.337,9-Jul,1.32,16-Jul,1.325,23-Jul,1.326,30-Jul,1.353
2001-Aug,6-Aug,1.36,13-Aug,1.411,20-Aug,1.504,27-Aug,1.676,,
2001-Sep,3-Sep,1.734,10-Sep,1.655,17-Sep,1.641,24-Sep,1.532,,
2001-Oct,1-Oct,1.4,8-Oct,1.291,15-Oct,1.234,22-Oct,1.193,29-Oct,1.174
2001-Nov,5-Nov,1.164,12-Nov,1.149,19-Nov,1.166,26-Nov,1.108,,
2001-Dec,3-Dec,1.112,10-Dec,1.111,17-Dec,1.051,24-Dec,1.111,31-Dec,1.157
2002-Jan,7-Jan,1.165,14-Jan,1.122,21-Jan,1.111,28-Jan,1.099,,
2002-Feb,4-Feb,1.146,11-Feb,1.111,18-Feb,1.118,25-Feb,1.112,,
2002-Mar,4-Mar,1.179,11-Mar,1.257,18-Mar,1.328,25-Mar,1.358,,
2002-Apr,1-Apr,1.394,8-Apr,1.44,15-Apr,1.393,22-Apr,1.397,29-Apr,1.369
2002-May,6-May,1.384,13-May,1.379,20-May,1.413,27-May,1.386,,
2002-Jun,3-Jun,1.406,10-Jun,1.361,17-Jun,1.378,24-Jun,1.385,,
2002-Jul,1-Jul,1.425,8-Jul,1.393,15-Jul,1.427,22-Jul,1.44,29-Jul,1.432
2002-Aug,5-Aug,1.38,12-Aug,1.386,19-Aug,1.397,26-Aug,1.418,,
2002-Sep,2-Sep,1.388,9-Sep,1.396,16-Sep,1.418,23-Sep,1.385,30-Sep,1.429
2002-Oct,7-Oct,1.48,14-Oct,1.493,21-Oct,1.518,28-Oct,1.483,,
2002-Nov,4-Nov,1.494,11-Nov,1.446,18-Nov,1.383,25-Nov,1.327,,
2002-Dec,2-Dec,1.294,9-Dec,1.312,16-Dec,1.341,23-Dec,1.416,30-Dec,1.472
2003-Jan,6-Jan,1.442,13-Jan,1.465,20-Jan,1.457,27-Jan,1.478,,
2003-Feb,3-Feb,1.545,10-Feb,1.631,17-Feb,1.687,24-Feb,1.64,,
2003-Mar,3-Mar,1.684,10-Mar,1.71,17-Mar,1.704,24-Mar,1.617,31-Mar,1.543
2003-Apr,7-Apr,1.535,14-Apr,1.495,21-Apr,1.5,28-Apr,1.486,,
2003-May,5-May,1.422,12-May,1.434,19-May,1.49,26-May,1.487,,
2003-Jun,2-Jun,1.465,9-Jun,1.52,16-Jun,1.534,23-Jun,1.467,30-Jun,1.464
2003-Jul,7-Jul,1.468,14-Jul,1.513,21-Jul,1.516,28-Jul,1.501,,
2003-Aug,4-Aug,1.562,11-Aug,1.587,18-Aug,1.62,25-Aug,1.739,,
2003-Sep,1-Sep,1.715,8-Sep,1.664,15-Sep,1.671,22-Sep,1.588,29-Sep,1.507
2003-Oct,6-Oct,1.519,13-Oct,1.542,20-Oct,1.581,27-Oct,1.53,,
2003-Nov,3-Nov,1.534,10-Nov,1.479,17-Nov,1.469,24-Nov,1.503,,
2003-Dec,1-Dec,1.453,8-Dec,1.443,15-Dec,1.434,22-Dec,1.477,29-Dec,1.463
2004-Jan,5-Jan,1.524,12-Jan,1.566,19-Jan,1.6,26-Jan,1.635,,
2004-Feb,2-Feb,1.599,9-Feb,1.638,16-Feb,1.644,23-Feb,1.67,,
2004-Mar,1-Mar,1.693,8-Mar,1.708,15-Mar,1.67,22-Mar,1.706,29-Mar,1.735
2004-Apr,5-Apr,1.75,12-Apr,1.754,19-Apr,1.794,26-Apr,1.791,,
2004-May,3-May,1.834,10-May,1.927,17-May,2.015,24-May,2.068,31-May,2.017
2004-Jun,7-Jun,1.995,14-Jun,1.9,21-Jun,1.832,28-Jun,1.834,,
2004-Jul,5-Jul,1.821,12-Jul,1.887,19-Jul,1.915,26-Jul,1.866,,
2004-Aug,2-Aug,1.866,9-Aug,1.868,16-Aug,1.881,23-Aug,1.884,30-Aug,1.83
2004-Sep,6-Sep,1.818,13-Sep,1.824,20-Sep,1.867,27-Sep,1.929,,
2004-Oct,4-Oct,1.913,11-Oct,1.966,18-Oct,2.008,25-Oct,1.986,,
2004-Nov,1-Nov,2.003,8-Nov,1.945,15-Nov,1.898,22-Nov,1.894,29-Nov,1.909
2004-Dec,6-Dec,1.852,13-Dec,1.75,20-Dec,1.755,27-Dec,1.731,,
2005-Jan,3-Jan,1.745,10-Jan,1.795,17-Jan,1.825,24-Jan,1.872,31-Jan,1.938
2005-Feb,7-Feb,1.921,14-Feb,1.892,21-Feb,1.9,28-Feb,1.943,,
2005-Mar,7-Mar,2.034,14-Mar,2.078,21-Mar,2.139,28-Mar,2.162,,
2005-Apr,4-Apr,2.216,11-Apr,2.266,18-Apr,2.166,25-Apr,2.183,,
2005-May,2-May,2.171,9-May,2.091,16-May,2.086,23-May,2.046,30-May,2.021
2005-Jun,6-Jun,2.068,13-Jun,2.102,20-Jun,2.143,27-Jun,2.218,,
2005-Jul,4-Jul,2.211,11-Jul,2.331,18-Jul,2.283,25-Jul,2.212,,
2005-Aug,1-Aug,2.233,8-Aug,2.343,15-Aug,2.545,22-Aug,2.617,29-Aug,2.62
2005-Sep,5-Sep,3.06,12-Sep,2.915,19-Sep,2.695,26-Sep,2.745,,
2005-Oct,3-Oct,2.926,10-Oct,2.783,17-Oct,2.609,24-Oct,2.465,31-Oct,2.336
2005-Nov,7-Nov,2.243,14-Nov,2.196,21-Nov,2.104,28-Nov,2.075,,
2005-Dec,5-Dec,2.14,12-Dec,2.204,19-Dec,2.24,26-Dec,2.216,,
2006-Jan,2-Jan,2.286,9-Jan,2.355,16-Jan,2.285,23-Jan,2.308,30-Jan,2.346
2006-Feb,6-Feb,2.306,13-Feb,2.214,20-Feb,2.191,27-Feb,2.29,,
2006-Mar,6-Mar,2.402,13-Mar,2.412,20-Mar,2.528,27-Mar,2.497,,
2006-Apr,3-Apr,2.596,10-Apr,2.674,17-Apr,2.777,24-Apr,2.889,,
2006-May,1-May,2.846,8-May,2.803,15-May,2.884,22-May,2.77,29-May,2.775
2006-Jun,5-Jun,2.83,12-Jun,2.842,19-Jun,2.785,26-Jun,2.827,,
2006-Jul,3-Jul,2.92,10-Jul,2.973,17-Jul,2.99,24-Jul,3,31-Jul,2.99
2006-Aug,7-Aug,3.062,14-Aug,2.978,21-Aug,2.865,28-Aug,2.764,,
2006-Sep,4-Sep,2.601,11-Sep,2.449,18-Sep,2.321,25-Sep,2.213,,
2006-Oct,2-Oct,2.183,9-Oct,2.168,16-Oct,2.152,23-Oct,2.174,30-Oct,2.221
2006-Nov,6-Nov,2.216,13-Nov,2.242,20-Nov,2.237,27-Nov,2.228,,
2006-Dec,4-Dec,2.285,11-Dec,2.245,18-Dec,2.298,25-Dec,2.294,,
2007-Jan,1-Jan,2.291,8-Jan,2.233,15-Jan,2.098,22-Jan,2.015,29-Jan,2.105
2007-Feb,5-Feb,2.165,12-Feb,2.251,19-Feb,2.31,26-Feb,2.394,,
2007-Mar,5-Mar,2.491,12-Mar,2.517,19-Mar,2.516,26-Mar,2.546,,
2007-Apr,2-Apr,2.638,9-Apr,2.764,16-Apr,2.821,23-Apr,2.797,30-Apr,2.939
2007-May,7-May,3.078,14-May,3.183,21-May,3.336,28-May,3.327,,
2007-Jun,4-Jun,3.23,11-Jun,3.075,18-Jun,2.988,25-Jun,2.976,,
2007-Jul,2-Jul,2.969,9-Jul,3.066,16-Jul,3.18,23-Jul,2.991,30-Jul,2.856
2007-Aug,6-Aug,2.841,13-Aug,2.784,20-Aug,2.884,27-Aug,2.855,,
2007-Sep,3-Sep,2.986,10-Sep,2.991,17-Sep,2.873,24-Sep,2.879,,
2007-Oct,1-Oct,2.804,8-Oct,2.779,15-Oct,2.765,22-Oct,2.821,29-Oct,2.896
2007-Nov,5-Nov,3.063,12-Nov,3.16,19-Nov,3.102,26-Nov,3.092,,
2007-Dec,3-Dec,3.025,10-Dec,2.923,17-Dec,2.969,24-Dec,2.943,31-Dec,3.059
2008-Jan,7-Jan,3.124,14-Jan,3.036,21-Jan,2.986,28-Jan,2.946,,
2008-Feb,4-Feb,2.99,11-Feb,2.971,18-Feb,3.072,25-Feb,3.105,,
